Parent Folder,File Name,MD5 Checksum,SHA256 Checksum
APT29,APT29_2012-02_FSecure_Cozyduke,,
APT29_2012-02_FSecure_Cozyduke,CozyDuke,,
CozyDuke,00F67DEB6E435C68F8A39336C9EFFC45D395B134,6761106f816313394a653db5172dc487,37ceea0922d1177a9de74f4858678acf6afd22706489fcca35a509bca9688cb7
CozyDuke,01D3973E1BB46E2B75034736991C567862A11263,5b4250a6bb4c6915ce962d489ee912d6,637cabc343e3ed5b447dccb13aa7caf4d3a3eb3cd617d360167f270ec34596ea
CozyDuke,04AEFBF1527536159D72D20DEA907CBD080793E3,1a42acbdb285a7fba17f95068822ea4e,4464c945c88ac9a4a22e86f0922f18c164e87f26c3f3fa054eb488fdd7d4bfc8
CozyDuke,210BC99275368DF7EA179055737CFFC3A12A6614,d9703d014c5d4f55e2996f3573544476,f16cfb7e54a11689fc1a37145b7ff28f17a1930c74324650e9a080ac87d69ac7
CozyDuke,23E20C523B9970686D913360D438C88E6067C157,f0a6436ffee12558a434a0fc24b3b33f,5f827730c7bd155997121f023ca9775077a37a58111738fcb3213757170bd860
CozyDuke,29A91E7823046F4EC3FD6B3FD1B442EAA92F3565,52474b705610245f67bbd1c86ab8bd7b,f9987e6be134bf29458a336a76600a267e14b07a57032b6a8fc656f750e40ce5
CozyDuke,31163D35C5A3CAA5E82E1D9B0D1B4DB8FBDD79FA,9f612661000605c5d0787fe13746e4cc,363bf9a64718ae7af673f199b04b90abd5196b176932091927f6386271912442
CozyDuke,32B0C8C46F8BAABA0159967C5602F58DD73EBDE9,0e0182694c381f8b68afc5f3ff4c4653,c1b19af1e354f13c90163780be6ad50f02d5bf8bac1c9cc1eab1377a159de1be
CozyDuke,33BEB7A410F1CD699733000B5B30B5E4EB2062BA,330ed7549d50bdb56497a5577132610a,907a743b5d1d028f9bfb5f053311b0f8be8516cb97dbc48ac0511de9c41d3c32
CozyDuke,3583647EF8158E29E3C18413ECE70C2851720926,992d2386998566a2a95c2affbfe3f3fe,73b7d89340126a441e483229deefb017c8c680d0c8f571c55744e6141576f68a
CozyDuke,42CFE068B0F476198B93393840D400424FD77F0C,d596827d48a3ff836545b3a999f2c3e3,0dc7438be5b21a36651de0a08361b18d76f0920517a7d51f75dc234740f392ca
CozyDuke,443BC2E77B10AE64AF6321C2C7BFD311C0772503,b4ae6966e65e47afa41610b1fb554607,b75cc5e0ad70347b3fad6c3e3b6b2bd224ec75e6ea9c906f01b53af58b52f038
CozyDuke,44406A80F13045442CE6A28EE62A923AC8F8C56A,01a2c13c42f1a0557421d341f4165423,7188e3a11c12e48098fb24aa288068ff5dabeff8ba88b138c20811ef751d5f07
CozyDuke,482D1624F9450CA1C99926CEEC2606260E7CE544,fd8e27f820bdbdf6cb80a46c67fd978a,f7f4d18dbc0b822b89ba14ffea24114f92b593be0f287f300bb269b310883039
CozyDuke,49FB759D133EEAAB3FCC78CEC64418E44ED649AB,08709ef0e3d467ce843af4deb77d74d5,bc7bcb663477238508ce8ad366cc9a77811c7f5eabaec47175858fe972639f40
CozyDuke,4A16674C799FAE6535C82F878F6A37F94EE9A49B,5fa3c3dabb8edd601302d9cf02db899d,0d5d39ad12361b6ea6b3856e55a63cad4611c7b49795b1f2a517621de298e4fa
CozyDuke,5150174A4D5E5BB0BCCC568E82DBB86406487510,2ef51f1ca11ce73fa20b54a5886ad1dd,89996b66d5a339939b2072d29675ec3ca6d793f42a5d335a8ea7dab8773321ef
CozyDuke,5BCD74E0C3C661580201E7D8122D7525A1480B4C,859f167704b5c138ed9a9d4d3fdc0723,f99efa337e1b7cef4e68570a23da9183526c3db72c6410d41f63e38c8b515466
CozyDuke,5FFE420A3CC848024884DB8E2CFED68C47368DAE,5eabc9c54b73fffb5f3fddb37a653d7b,9d047bd757faff57539c885d46fdf8e7db383d850b355d7a829a203c9184def4
CozyDuke,6B5EF7B76B35203DD323AF49BFA27CFA7E1B6376,c42bf27579eaadfa080134f3400a417b,fbbcac3f053a480ca28cc2910c74846af7efb0b291cbe006cf15c612986e5d2c
CozyDuke,71C59EAA445346251467942BAC489A9D4E807F7F,69cab1853df0749d42b68bf41d78e655,c3329be592d90fdc0383d05ae9c251b3387f366f2aeb57ac595a5538aea0bfd9
CozyDuke,75AEAEE253B5C8AE701195E3B0F49308F3D1D932,95b3ec0a4e539efaa1faa3d4e25d51de,7fd72a36f7e0e6e0a8bc777fc9ed41e0a6d5526c98bc95a09e189531cf7e70d5
CozyDuke,7765A0869530C1A17B8FD339BBE55CC4C1BDBA30,5ebce6cbedfec82f1428c3409e3df0ef,89cd924e6bb24ea151ba653573c64f07b22802473ea94c63c2c94843172998d6
